Offset,Hash,Original,Translation
3058,33,"これを特殊な手順でヒュジキキの素材と
合わせることで、毒成分を
中和することができますニャ。","이것을 특수한 순서로 휴지키키의 소재와
섞으면 독 성분을
중화할 수 있다냥."
3171,34,"うーむ…こういう話の時だけは
バッシはイキイキしてるニャ。","으음… 이런 이야기를 할 때만큼은
바시가 생기 넘친다냥."
3250,35,ニュヒ、ニュヒヒ…,"니휴, 니휴히…"
3303,36,"@MYNAME様、~C05ギアオルグの狩猟~C00、
よろしくお願いしますニャ。","@MYNAME님, ~C05기어올그 사냥~C00,
잘 부탁한다냥."
3409,37,"@MYNAME様、~C05ギアオルグの狩猟~C00、
よろしくお願いしますニャ。","@MYNAME님, ~C05기어올그 사냥~C00,
잘 부탁한다냥."
3523,38,"ご苦労さまでしたニャ。
ギアオルグの血、受け取りましたニャ。","수고하셨다냥.
기어올그의 피, 받았다냥."
3618,39,これで飛竜凍血散は完成ですが…,이걸로 비룡동혈산은 완성입니다만…
3676,40,"見るからに毒々しいというか…
逆に腹を下しそうだニャ。","딱 봐도 독기가 도는 것 같다고 할까…
오히려 배탈이 날 것 같다냥."
3765,41,"おお、それこそ東方の生薬！
早く拙者に飲ませてくだサレ！","오오, 그야말로 동방의 생약이오!
어서 소인에게 마시게 해주시오!"
3842,42,"~C06キースは飛竜凍血散を受け取ると、
一気に飲み干した！~C00","~C06키스는 비룡동혈산을 받아들자
단숨에 들이켰다!~C00"
3930,43,"んぐっ、んぐっ…。
ぷはぁーっ！マズい！","꿀꺽, 꿀꺽…
푸하앗! 맛없소!"
3991,44,"オエェェーッ！
見てるだけで吐きそうだニャ！","우에엑!
보고만 있어도 토할 것 같다냥!"
4056,45,"おお、しかしたちどころに
腹具合が良くなってきたでゴザル！","오오, 하나 순식간에
배 상태가 좋아지고 있소이다!"
4142,46,"いやあ、さすがは狩人殿！
助かり申した！
これは心ばかりのお礼でゴザル。","허어, 과연 나리시오!
덕분에 살았소이다!
이것은 작은 성의의 답례이오."
4235,47,~C06キースからポルタツムリを受け取った。~C00,~C06키스에게서 포르타 달팽이를 받았다.~C00
4308,48,ニャんだそりゃ？,그게 뭐다냥?
4345,49,"ポルタツムリでゴザルよ。
食べると不思議な気分になり申してナ。
拙者、これが大好きでゴザル。","포르타 달팽이이오.
먹으면 신기한 기분이 든다오.
소인, 이것을 아주 좋아하오이다."
4458,50,"アンタまさか、
それの食い過ぎで腹を下したんじゃ…","당신 설마
그거 과식해서 배탈 난 거 아니…"
4529,51,"な、何を言ってるのか
よくわからんでゴザルな…","무, 무슨 말을 하는지
잘 모르겠소이다만…"
4609,52,"とにかく、助かり申した。
では狩人殿、またラスタ酒場で…","아무튼, 덕분에 살았소이다.
그럼 나리, 다음에 라스터 주점에서…"
4686,53,"ちょっと待つぜニャ。
アンタ、何でも屋の話は
チルカから聞いたと言ってたが…","잠깐 기다리라냥.
당신, 해결사 이야기는
칠카한테 들었다고 했는데…"
4783,54,"他にも、そういうウワサを
聞いたことはニャかったかニャ？","그 밖에도 그런 소문을
들은 적은 없냥?"
4860,55,"おお、よくご存知でゴザルな。
確かに、広場にいたアイルーからも
同じ話を聞いたでゴザル。","오오, 잘 알고 계시는구려.
확실히, 광장에 있던 아이루에게서도
같은 이야기를 들었소이다."
4976,56,ニャんと！？,뭐라고냥!?
5009,57,"やっぱりニャ。
これでハッキリしたぜニャ。","역시냥.
이걸로 확실해졌다냥."
5079,58,"今回の何でも屋騒動は、
誰かが意図的にやってることだニャ。","이번 해결사 소동은
누군가가 의도적으로 벌인 짓이다냥."
5165,59,"しかし、一体誰がニャんのために、
こんニャ馬鹿げたウワサを…","하지만 대체 누가 뭣 때문에
이런 말도 안 되는 소문을…"
5246,60,"そいつは犯人を捕まえれば
わかる話だぜニャ。","그건 범인을 붙잡으면
알 수 있는 얘기다냥."
5311,61,必ず犯人を突き止めてやるぜニャ！,반드시 범인을 밝혀내고 말겠다냥!
