Offset,Hash,Original,Translation
21591,12,"場所：床　　重ね：○　上置：○
ランポスの上鱗を使った家具。
新品なのに傷があるのは、
ドスランポスの皮のため。","위치：바닥　　겹치기：○　위에놓기：○
란포스의 상급 비늘을 사용한 가구.
새 제품인데도 흠집이 있는 것은
도스란포스의 가죽 때문."
21701,13,om027,
21707,13,黄のローチェスト,노랑 서랍장[소]
21724,13,"場所：床　　重ね：○　上置：○
ゲネポスの鱗を使った家具。
ハイチェスト同様、かわいいと
評判が高い。","위치：바닥　　겹치기：○　위에놓기：○
게네포스의 비늘을 사용한 가구.
서랍장[대]와 마찬가지로 귀엽다는
평판이 높다."
21824,14,om028,
21830,14,紫のローチェスト,보라 서랍장[소]
21847,14,"場所：床　　重ね：○　上置：○
ゴム質の紫皮を使った家具。
シックな紫は、大人の香りを
一層引き立てている。","위치：바닥　　겹치기：○　위에놓기：○
고무질의 보라 가죽을 사용한 가구.
시크한 보라색은 어른스러운 분위기를
한층 돋보이게 한다."
21953,15,om029,
21959,15,赤光沢のローチェスト,빨강광택 서랍장[소]
21980,15,"場所：床　　重ね：○　上置：○
珍しい赤光沢をした家具。
フラットなシルエットに映える、
赤に仕上がっている。","위치：바닥　　겹치기：○　위에놓기：○
희귀한 빨강광택을 띤 가구.
플랫한 실루엣에 돋보이는
빨강으로 완성되어 있다."
22088,16,om030,
22094,16,白のローチェスト,하양 서랍장[소]
22111,16,"場所：床　　重ね：○　上置：○
ブヨブヨした皮を使った家具。
凛とした雪山を思わせる白さに
身が引き締まる。","위치：바닥　　겹치기：○　위에놓기：○
말랑말랑한 가죽을 사용한 가구.
늠름한 설산을 연상시키는 흰색에
마음이 절로 단정해진다."
22217,17,om031,
22223,17,桃光沢のローチェスト,분홍광택 서랍장[소]
22244,17,"場所：床　　重ね：○　上置：○
かわいい桃光沢をした家具。
光沢趣向のある女性にと考案
され、見事に成功した商品。","위치：바닥　　겹치기：○　위에놓기：○
귀여운 분홍광택을 띤 가구.
광택을 좋아하는 여성을 위해 고안
되어 훌륭하게 성공한 상품."
22356,18,om032,
22362,18,青光沢のローチェスト,파랑광택 서랍장[소]
22383,18,"場所：床　　重ね：○　上置：○
涼しげな青光沢をした家具。
光沢系の家具でも比較的若年層
に人気のある商品。","위치：바닥　　겹치기：○　위에놓기：○
시원한 느낌의 파랑광택을 띤 가구.
광택 계열 가구 중에서도 비교적 젊은 층
에게 인기 있는 상품."
22489,19,om033,
22495,19,石光沢のローチェスト,돌광택 서랍장[소]
22516,19,"場所：床　　重ね：○　上置：○
複数の鉱石を使った家具。
磨き上げによる渋い光沢は、
重厚な存在感がある。","위치：바닥　　겹치기：○
위에놓기：○ 여러 광석을
사용한 가구. 연마로 낸 중후한
광택은 묵직한 존재감이 있다."
22620,20,om034,
22626,20,黒光沢のローチェスト,검정광택 서랍장[소]
22647,20,"場所：床　　重ね：○　上置：○
渋く黒光りしている家具。
どんな部屋もビシッと締まった
雰囲気になること間違いなし。","위치：바닥　　겹치기：○　위에놓기：○
중후하게 검은빛이 도는 가구.
어떤 방이든 딱 짜임새 있는
분위기가 되는 것은 틀림없다."
22761,21,om035,
22767,21,黄金のローチェスト,황금 서랍장[소]
22786,21,"場所：床　　重ね：○　上置：○
眩く黄金色に輝く家具。
惜しみなく贅沢な素材を使い、
価格も頂点を極める。","위치：바닥　　겹치기：○　위에놓기：○
눈부시게 황금빛으로 빛나는 가구.
아낌없이 사치스러운 소재를 사용해
가격도 정점을 찍는다."
22890,22,om036,
22896,22,匠のローチェスト,장인 서랍장[소]
22913,22,"場所：床　　重ね：○　上置：○
家具職人の業を全て注ぎ入れて
作られた家具。
溢れるほどの情熱を感じる。","위치：바닥　　겹치기：○　위에놓기：○
가구 장인의 솜씨를 모두 쏟아부어
만들어진 가구.
넘쳐흐를 정도의 정열이 느껴진다."
23015,23,om041,
23021,23,竜骨のクローゼット,용골 옷장
23040,23,"場所：床　　重ね：○　上置：○
竜骨を使った家具。
どのような部屋にも合うため、
永く愛されている。","위치：바닥　　겹치기：○
위에놓기：○ 용골을 사용한
가구. 어떤 방에도 어울리기
때문에 오랫동안 사랑받고 있다."
23138,24,om045,
23144,24,赤のクローゼット,빨강 옷장
23161,24,"場所：床　　重ね：○　上置：○
イーオスの皮を使った家具。
真っ赤な夕暮れを思わせる色合
いに、思い出が蘇る。","위치：바닥　　겹치기：○　위에놓기：○
이오스의 가죽을 사용한 가구.
새빨간 노을을 연상시키는 색감
에 추억이 되살아난다."
23269,25,om046,
23275,25,青のクローゼット,파랑 옷장
23292,25,"場所：床　　重ね：○　上置：○
ランポスの皮を使った家具。
どんなに入れても収納力の尽き
ることない優れもの。","위치：바닥　　겹치기：○　위에놓기：○
란포스의 가죽을 사용한 가구.
아무리 넣어도 수납력이 다하
지 않는 우수한 물건."
23400,26,om047,
23406,26,黄のクローゼット,노랑 옷장
23423,26,"場所：床　　重ね：○　上置：○
ゲネポスの皮を使った家具。
砂漠の海を思わせる黄色は、
ゲネポスならでは。","위치：바닥　　겹치기：○　위에놓기：○
게네포스의 가죽을 사용한 가구.
사막의 바다를 연상시키는 노란색은
게네포스이기에 가능한 것."
23527,27,om048,
23533,27,紫のクローゼット,보라 옷장
23550,27,"場所：床　　重ね：○　上置：○
ゴム質の紫皮を使った家具。
難度の高い加工を何とか成し
遂げた、職人の自信作。","위치：바닥　　겹치기：○　위에놓기：○
고무질의 보라 가죽을 사용한 가구.
난도 높은 가공을 어떻게든 해
낸 장인의 자신작."
23658,28,om049,
23664,28,白のクローゼット,하양 옷장
23681,28,"場所：床　　重ね：○　上置：○
ブヨブヨした皮を使った家具。
面白い肌触りは、ブヨブヨした
皮を使っているから。","위치：바닥　　겹치기：○　위에놓기：○
말랑말랑한 가죽을 사용한 가구.
재미있는 촉감은 물컹물컹한
가죽을 사용했기 때문."
23791,29,om050,
23797,29,赤光沢のクローゼット,빨강광택 옷장
23818,29,"場所：床　　重ね：○　上置：○
珍しい赤光沢をした家具。
いつまでもうっとりと眺め続け
ていたい光沢を放つ。","위치：바닥　　겹치기：○　위에놓기：○
희귀한 빨강광택을 띤 가구.
언제까지고 넋을 잃고 계속 바라
보고 싶은 광택을 발한다."
23924,30,om051,
23930,30,桃光沢のクローゼット,분홍광택 옷장
23951,30,"場所：床　　重ね：○　上置：○
かわいい桃光沢をした家具。
柔らかな色合いの裏には、
高い技術が隠れている。","장소：바닥　중첩：○　상단：○
귀여운 분홍 광택을 띤 가구.
부드러운 색조 이면에는 뛰어난
기술이 숨어 있다."
24057,31,om052,
24063,31,青光沢のクローゼット,파란 광택 옷장
24084,31,"場所：床　　重ね：○　上置：○
涼しげな青光沢をした家具。
この色を出すために、幾度と
なく磨き上げた傑作中の傑作。","장소：바닥　중첩：○　상단：○
시원한 느낌의 파란 광택을 띤 가구.
이 색을 내기 위해 몇 번이고
갈고닦은 걸작 중의 걸작."
24198,32,om053,
24204,32,石光沢のクローゼット,돌 광택 옷장
24225,32,"場所：床　　重ね：○　上置：○
複数の鉱石を使った家具。
重さに負けないよう、特別な
組み方を行っている。","장소：바닥　중첩：○　상단：○
여러 광석을 사용한 가구.
무게에 지지 않도록 특별한 조립
방식을 적용했다."
24329,33,om054,
24335,33,黒光沢のクローゼット,검은 광택 옷장
24356,33,"場所：床　　重ね：○　上置：○
渋く黒光りしている家具。
重厚さに相応しいほどに、重さ
もどっしりヘビー級。","장소：바닥　중첩：○　상단：○
중후하게 검은빛을 내는 가구.
중후함에 걸맞을 만큼 무게도
묵직한 헤비급."
24462,34,om055,
24468,34,黄金のクローゼット,황금 옷장
24487,34,"場所：床　　重ね：○　上置：○
眩く黄金色に輝くクローゼット。
入手困難な素材を用いた結果
に相応しい存在感のある家具。","장소：바닥　중첩：○　상단：○
눈부시게 황금빛으로 빛나는 옷장.
구하기 힘든 소재를 사용한 만큼
존재감 있는 가구."
24605,35,om056,
24611,35,匠のクローゼット,장인의 옷장
24628,35,"場所：床　　重ね：○　上置：○
家具職人の業を全て注ぎ入れて
作られた家具。
熱い魂が伝わってくる。","장소：바닥　중첩：○　상단：○
가구 장인의 기술을 모두
쏟아부어 만든 가구. 뜨거운
혼이 전해져 온다."
24726,36,om061,
24732,36,竜骨の食器セット,용골 식기 세트
24749,36,"場所：床　　重ね：○　上置：×
竜骨を使った食器。
どこの家庭でも使われている。
値段・使いやすさ共に手頃。","장소：바닥　중첩：○　상단：×
용골을 사용한 식기. 어느
가정에서나 사용되고 있다.
가격도, 사용하기도 적당하다."
24855,37,om065,
24861,37,赤の食器セット,붉은 식기 세트
24876,37,"場所：床　　重ね：○　上置：×
ドスイーオスの皮を使った食器。
冷たい料理も、これなら熱く
感じるかも。","장소：바닥　중첩：○　상단：×
도스이오스의 가죽을 사용한 식기.
차가운 요리도 이거라면 뜨겁게
느껴질지도."
24978,38,om066,
24984,38,青の食器セット,푸른 식기 세트
24999,38,"場所：床　　重ね：○　上置：×
ドスランポスの皮を使った食器。
落ち着きある青は、食卓を
リッチな気分にしてくれる。","장소：바닥　중첩：○　상단：×
도스란포스의 가죽을 사용한
식기. 차분한 파란색이 식탁을
풍요로운 기분으로 만들어 준다."
25113,39,om067,
25119,39,黄の食器セット,노란 식기 세트
25134,39,"場所：床　　重ね：○　上置：×
ドスゲネポスの皮を使った食器。
スパイスの効いた料理にぴった
りな商品。","장소：바닥　중첩：○　상단：×
도스게네포스의 가죽을 사용한 식기.
향신료가 들어간 요리에 딱
어울리는 상품."
25236,40,om068,
25242,40,紫の食器セット,보라 식기 세트
25257,40,"場所：床　　重ね：○　上置：×
ゴム質の紫皮を使った食器。
特別な日の食卓には是非そろえ
たい一式。","장소：바닥　중첩：○　상단：×
고무질의 보라색 가죽을 사용한 식기.
특별한 날의 식탁에는 꼭 갖추고
싶은 세트."
25355,41,om069,
25361,41,白の食器セット,하얀 식기 세트
25376,41,"場所：床　　重ね：○　上置：×
ブヨブヨした皮を使った食器。
どんな料理も際立って見える
料理人には嬉しい商品。","장소：바닥　중첩：○　상단：×
말랑말랑한 가죽을 사용한 식기.
어떤 요리도 돋보이게 하는,
요리사에게 반가운 상품."
25486,42,om070,
25492,42,赤光沢の食器セット,빨간 광택 식기 세트
25511,42,"場所：床　　重ね：○　上置：×
珍しい赤光沢をした食器。
冷たい料理も、これならアツ
アツに感じるかも。","장소：바닥　중첩：○　상단：×
희귀한 빨간 광택을 띤 식기.
차가운 요리도 이거라면 따끈
따끈하게 느껴질지도."
25613,43,om071,
25619,43,桃光沢の食器セット,분홍 광택 식기 세트
25638,43,"場所：床　　重ね：○　上置：×
かわいい桃光沢をした食器。
硬質と柔らかな色のギャップが
受け入れられている。","장소：바닥　중첩：○　상단：×
귀여운 분홍 광택을 띤 식기.
단단한 재질과 부드러운 색상의
차이가 인기를 끌고 있다."
25746,44,om072,
25752,44,青光沢の食器セット,파란 광택 식기 세트
25771,44,"場所：床　　重ね：○　上置：×
涼しげな青光沢をした食器。
どんなに熱い料理も、これなら
適度に冷める？","장소：바닥　중첩：○　상단：×
시원한 느낌의 파란 광택을 띤
식기. 아무리 뜨거운 요리도
이거라면 적당히 식는다?"
25873,45,om073,
25879,45,石光沢の食器セット,돌 광택 식기 세트
25898,45,"場所：床　　重ね：○　上置：×
複数の鉱石を使った食器。
重いが耐熱性に優れており、
さまざまな料理に適している。","장소：바닥　중첩：○　상단：×
여러 광석을 사용한 식기.
무겁지만 내열성이 뛰어나
다양한 요리에 적합하다."
26010,46,om074,
26016,46,黒光沢の食器セット,검은 광택 식기 세트
26035,46,"場所：床　　重ね：○　上置：×
渋く黒光りしている食器。
簡単料理もこの食器を使えば
高級料理に早変わり？","장소：바닥　중첩：○　상단：×
중후하게 검은빛을 내는 식기.
간단한 요리도 이 식기를 쓰면
고급 요리로 대변신?"
26139,47,om075,
26145,47,黄金の食器セット,황금 식기 세트
26162,47,"場所：床　　重ね：○　上置：×
眩く黄金色に輝く食器セット。
惜しみなく贅沢な素材を使い
ながらも、価格を抑えた商品。","장소：바닥　중첩：○　상단：×
눈부시게 황금빛으로 빛나는 식기 세트.
아낌없이 호화로운 소재를 사용
하면서도 가격을 낮춘 상품."
26278,48,om081,
26284,48,竜骨のテーブル,용골 테이블
26299,48,"場所：床　　重ね：○　上置：○
竜骨を使った家具。
素朴な感じと、手入れが簡単な
ことから人気が高い。","장소：바닥　중첩：○　상단：○
용골을 사용한 가구. 소박한
느낌과 손질이 간단한 점 덕분에
인기가 높다."
26399,49,om085,
26405,49,赤のテーブル,붉은 테이블
26418,49,"場所：床　　重ね：○　上置：○
イーオスの皮を使った家具。
部屋のポイントにも使える
鮮やかな赤が人気のひみつ。","장소：바닥　중첩：○　상단：○
이오스의 가죽을 사용한 가구.
방의 포인트로도 쓸 수 있는
선명한 빨간색이 인기의 비결."
26528,50,om086,
26534,50,青のテーブル,푸른 테이블
26547,50,"場所：床　　重ね：○　上置：○
ランポスの皮を使った家具。
しっかりとした触り心地は革張
りが良い証。","장소：바닥　중첩：○　상단：○
란포스의 가죽을 사용한 가구.
단단한 감촉은 가죽을 잘
씌운 증거."
26647,51,om087,
26653,51,黄のテーブル,노란 테이블
26666,51,"場所：床　　重ね：○　上置：○
ゲネポスの皮を使った家具。
多少の汚れも気にならないため、
不精する人に人気。","장소：바닥　중첩：○　상단：○
게네포스의 가죽을 사용한 가구.
웬만한 얼룩도 신경 쓰이지
않아 게으른 사람에게 인기."
26774,52,om088,
26780,52,紫のテーブル,보라 테이블
26793,52,"場所：床　　重ね：○　上置：○
ゴム質の紫皮を使った家具。
加工が難しいため、要望があっ
ても数多く出回らない。","장소：바닥　중첩：○　상단：○
고무질의 보라색 가죽을 사용한
가구. 가공이 어려워서 요청이
있어도 많이 유통되지 않는다."
26903,53,om089,
26909,53,白のテーブル,하얀 테이블
26922,53,"場所：床　　重ね：○　上置：○
ブヨブヨした皮を使った家具。
天板がすべりにくいおかげで、
使い勝手が良い。","장소：바닥　중첩：○　상단：○
말랑말랑한 가죽을 사용한 가구.
상판이 잘 미끄러지지 않아
사용하기 편하다."
27028,54,om090,
27034,54,赤光沢のテーブル,빨간 광택 테이블
27051,54,"場所：床　　重ね：○　上置：○
珍しい赤光沢をした家具。
独創的な形状と色の組み合わせ
に、人気急上昇中。","장소：바닥　중첩：○　상단：○
희귀한 빨간 광택을 띤 가구.
독창적인 형태와 색상의 조합
으로 인기가 급상승 중."
27155,55,om091,
27161,55,桃光沢のテーブル,분홍 광택 테이블
27178,55,"場所：床　　重ね：○　上置：○
かわいい桃光沢をした家具。
独創的な形状と色の組み合わせ
に、人気急上昇中。","장소：바닥　중첩：○　상단：○
귀여운 분홍 광택을 띤 가구.
독창적인 형태와 색상의 조합
으로 인기가 급상승 중."
27284,56,om092,
27290,56,青光沢のテーブル,파란 광택 테이블
27307,56,"場所：床　　重ね：○　上置：○
涼しげな青光沢をした家具。
独創的な形状と色の組み合わせ
に、人気急上昇中。","장소：바닥　중첩：○　상단：○
시원한 느낌의 파란 광택을 띤 가구.
독창적인 형태와 색상의 조합
으로 인기가 급상승 중."
27413,57,om093,
27419,57,石光沢のテーブル,돌 광택 테이블
27436,57,"場所：床　　重ね：○　上置：○
複数の鉱石を使った家具。
独創的な形状と色の組み合わせ
に、人気急上昇中。","장소：바닥　중첩：○　상단：○
여러 광석을 사용한 가구.
독창적인 형태와 색상의 조합
으로 인기가 급상승 중."
27540,58,om094,
27546,58,黒光沢のテーブル,검은 광택 테이블
27563,58,"場所：床　　重ね：○　上置：○
渋く黒光りしている家具。
独創的な形状と色の組み合わせ
に、人気急上昇中。","장소：바닥　중첩：○　상단：○
중후하게 검은빛을 내는 가구.
독창적인 형태와 색상의 조합
으로 인기가 급상승 중."
27667,59,om095,
27673,59,黄金のテーブル,황금 테이블
27688,59,"場所：床　　重ね：○　上置：○
眩く黄金色に輝くテーブル。
この上に置けるものは幸せだと
しか言いようのない逸品。","장소：바닥　중첩：○　상단：○
눈부시게 황금빛으로 빛나는 테이블.
이 위에 놓이는 것은 행복하다고
할 수밖에 없는 일품."
27800,60,om096,
27806,60,匠のテーブル,장인의 테이블
27819,60,"場所：床　　重ね：○　上置：○
家具職人の業を全て注ぎ入れて
作られた家具。
比類なき情熱が伝わってくる。","장소：바닥　중첩：○　상단：○
가구 장인의 기술을 모두
쏟아부어 만든 가구. 비할 데
없는 열정이 전해져 온다."
27923,61,om114,
27929,61,皮なしの横骨材【小】,가죽 없는 가로골재[소]
27950,61,"場所：不問　重ね：○　上置：○
梁や柵のように使える材料。
小サイズで手軽に使える。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
들보나 울타리처럼 쓸 수 있는 재료.
작은 사이즈로 손쉽게 사용 가능.
~C02바닥·벽·천장에 설치 가능~C17"
28064,62,om115,
28070,62,皮ありの横骨材【小】,가죽 있는 가로골재[소]
28091,62,"場所：不問　重ね：○　上置：○
梁や柵のように使える材料【小】。
おしゃれな皮加工が特徴。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
들보나 울타리처럼 쓸 수 있는 재료[소].
세련된 가죽 가공이 특징.
~C02바닥·벽·천장에 설치 가능~C17"
28211,63,om116,
28217,63,皮なしの縦骨材【小】,가죽 없는 세로골재[소]
28238,63,"場所：不問　重ね：○　上置：○
柱のように使える材料。
小サイズで手軽に使える。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
기둥처럼 쓸 수 있는 재료.
작은 사이즈로 손쉽게 사용 가능.
~C02바닥·벽·천장에 설치 가능~C17"
28348,64,om117,
28354,64,皮ありの縦骨材【小】,가죽 있는 세로골재[소]
28375,64,"場所：不問　重ね：○　上置：○
柱のように使える材料【小】。
おしゃれな皮加工が特徴。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
기둥처럼 쓸 수 있는 재료[소].
세련된 가죽 가공이 특징.
~C02바닥·벽·천장에 설치 가능~C17"
28491,65,om118,
28497,65,皮なしの横骨材【中】,가죽 없는 가로골재[중]
28518,65,"場所：不問　重ね：○　上置：○
梁や柵のように使える材料。
中サイズで十分使える。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
들보나 울타리처럼 쓸 수 있는 재료.
중간 사이즈로 충분히 사용 가능.
~C02바닥·벽·천장에 설치 가능~C17"
28630,66,om119,
28636,66,皮ありの横骨材【中】,가죽 있는 가로골재[중]
28657,66,"場所：不問　重ね：○　上置：○
梁や柵のように使える材料【中】。
おしゃれな皮加工が特徴。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
들보나 울타리처럼 쓸 수 있는 재료[중].
세련된 가죽 가공이 특징.
~C02바닥·벽·천장에 설치 가능~C17"
28777,67,om120,
28783,67,皮なしの縦骨材【中】,가죽 없는 세로골재[중]
28804,67,"場所：不問　重ね：○　上置：○
柱のように使える材料。
中サイズで十分使える。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
기둥처럼 쓸 수 있는 재료.
중간 사이즈로 충분히 사용 가능.
~C02바닥·벽·천장에 설치 가능~C17"
28912,68,om121,
28918,68,皮ありの縦骨材【中】,가죽 있는 세로골재[중]
28939,68,"場所：不問　重ね：○　上置：○
柱のように使える材料【中】。
おしゃれな皮加工が特徴。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
기둥처럼 쓸 수 있는 재료[중].
세련된 가죽 가공이 특징.
~C02바닥·벽·천장에 설치 가능~C17"
29055,69,om122,
29061,69,皮なしの横骨材【大】,가죽 없는 가로골재[대]
29082,69,"場所：不問　重ね：○　上置：○
梁や柵のように使える材料。
大サイズで豪華に使える。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
들보나 울타리처럼 쓸 수 있는 재료.
큰 사이즈로 호화롭게 사용 가능.
~C02바닥·벽·천장에 설치 가능~C17"
29196,70,om123,
29202,70,皮ありの横骨材【大】,가죽 있는 가로골재[대]
29223,70,"場所：不問　重ね：○　上置：○
梁や柵のように使える材料【大】。
おしゃれな皮加工が特徴。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
들보나 울타리처럼 쓸 수 있는 재료[대].
세련된 가죽 가공이 특징.
~C02바닥·벽·천장에 설치 가능~C17"
29343,71,om124,
29349,71,皮なしの縦骨材【大】,가죽 없는 세로골재[대]
29370,71,"場所：不問　重ね：○　上置：○
柱のように使える材料。
大サイズで豪華に使える。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
기둥처럼 쓸 수 있는 재료.
큰 사이즈로 호화롭게 사용 가능.
~C02바닥·벽·천장에 설치 가능~C17"
29480,72,om125,
29486,72,皮ありの縦骨材【大】,가죽 있는 세로골재[대]
29507,72,"場所：不問　重ね：○　上置：○
柱のように使える材料【大】。
大サイズで豪華に使える。
~C02床・壁・天井に設置可能~C17","장소：제한없음　중첩：○　상단：○
기둥처럼 쓸 수 있는 재료[대].
큰 사이즈로 호화롭게 사용 가능.
~C02바닥·벽·천장에 설치 가능~C17"
29623,73,om201,
29629,73,鉄鉱のスタンド【赤】,철광 스탠드[적]
29650,73,"場所：床　　重ね：○　上置：×
淡い赤に発光する照明家具。
これで夜がとても幻想的で楽し
いひとときに。","장소：바닥　중첩：○　상단：×
은은한 붉은빛을 내는 조명
가구. 이걸로 밤이 아주
환상적이고 즐거운 한때가 된다."
29752,74,om202,
29758,74,鉄鉱のスタンド【青】,철광 스탠드[청]
29779,74,"場所：床　　重ね：○　上置：×
淡い青に発光する照明家具。
これで夜がとても幻想的で楽し
いひとときに。","장소：바닥　중첩：○　상단：×
은은한 파란빛을 내는 조명
가구. 이걸로 밤이 아주
환상적이고 즐거운 한때가 된다."
29881,75,om203,
29887,75,鉄鉱のスタンド【黄】,철광 스탠드[황]
29908,75,"場所：床　　重ね：○　上置：×
淡い黄に発光する照明家具。
これで夜がとても幻想的で楽し
いひとときに。","장소：바닥　중첩：○　상단：×
은은한 노란빛을 내는 조명
가구. 이걸로 밤이 아주
환상적이고 즐거운 한때가 된다."
30010,76,om204,
30016,76,鉄鉱のスタンド【緑】,철광 스탠드[녹]
30037,76,"場所：床　　重ね：○　上置：×
淡い緑に発光する照明家具。
これで夜がとても幻想的で楽し
いひとときに。","장소：바닥　중첩：○　상단：×
은은한 초록빛을 내는 조명
가구. 이걸로 밤이 아주
환상적이고 즐거운 한때가 된다."
30139,77,om205,
30145,77,鉄鉱のスタンド【桃】,철광 스탠드[도]
30166,77,"場所：床　　重ね：○　上置：×
淡い桃に発光する照明家具。
これで夜がとても幻想的で楽し
いひとときに。","장소：바닥　중첩：○　상단：×
은은한 분홍빛을 내는 조명
가구. 이걸로 밤이 아주
환상적이고 즐거운 한때가 된다."
30268,78,om211,
30274,78,鱗の飾り壷【青】,비늘 장식 항아리[청]
30291,78,"場所：床　　重ね：○　上置：○
鱗を貼り付けて焼き上げた壷。
青を基調としている。
比較的庶民的な飾り物の１つ。","장소：바닥　중첩：○　상단：○
비늘을 붙여 구워낸 항아리.
청색을 기조로 하고 있다.
비교적 서민적인 장식품 중 하나."
30401,79,om212,
30407,79,鱗の飾り壷【桃】,비늘 장식 항아리[도]
30424,79,"場所：床　　重ね：○　上置：○
鱗を貼り付けて焼き上げた壷。
赤を基調としている。
比較的庶民的な飾り物の１つ。","장소：바닥　중첩：○　상단：○
비늘을 붙여 구워낸 항아리.
적색을 기조로 하고 있다.
비교적 서민적인 장식품 중 하나."
30534,80,om213,
30540,80,鱗の飾り壷【金】,비늘 장식 항아리[금]
